Descritpion_ID,Top_20_Image_IDs
0.txt,1648.jpg 292.jpg 1480.jpg 760.jpg 942.jpg 714.jpg 1698.jpg 1380.jpg 607.jpg 21.jpg 484.jpg 1574.jpg 1086.jpg 338.jpg 1131.jpg 784.jpg 1883.jpg 309.jpg 871.jpg 496.jpg
1.txt,833.jpg 314.jpg 1742.jpg 457.jpg 80.jpg 331.jpg 1601.jpg 758.jpg 820.jpg 169.jpg 818.jpg 1039.jpg 428.jpg 107.jpg 1068.jpg 1733.jpg 482.jpg 158.jpg 225.jpg 1559.jpg
2.txt,838.jpg 1724.jpg 42.jpg 1840.jpg 1183.jpg 634.jpg 159.jpg 598.jpg 1208.jpg 1421.jpg 1033.jpg 1366.jpg 511.jpg 445.jpg 1574.jpg 1471.jpg 1713.jpg 953.jpg 1866.jpg 1437.jpg
3.txt,1514.jpg 799.jpg 469.jpg 1513.jpg 1315.jpg 1035.jpg 66.jpg 1486.jpg 930.jpg 1748.jpg 1112.jpg 686.jpg 1052.jpg 725.jpg 770.jpg 75.jpg 800.jpg 447.jpg 1769.jpg 1609.jpg
4.txt,425.jpg 687.jpg 292.jpg 21.jpg 742.jpg 68.jpg 1231.jpg 1131.jpg 912.jpg 916.jpg 1816.jpg 1269.jpg 985.jpg 942.jpg 312.jpg 1561.jpg 1451.jpg 594.jpg 1479.jpg 969.jpg
5.txt,771.jpg 51.jpg 492.jpg 846.jpg 1693.jpg 814.jpg 1874.jpg 1335.jpg 330.jpg 1991.jpg 1913.jpg 526.jpg 1943.jpg 1660.jpg 703.jpg 643.jpg 1426.jpg 1088.jpg 1296.jpg 1402.jpg
6.txt,1660.jpg 429.jpg 1855.jpg 1216.jpg 583.jpg 1815.jpg 1275.jpg 655.jpg 623.jpg 1320.jpg 1874.jpg 1151.jpg 1701.jpg 1333.jpg 1940.jpg 1472.jpg 1289.jpg 1885.jpg 555.jpg 977.jpg
7.txt,975.jpg 1155.jpg 1270.jpg 1488.jpg 1249.jpg 528.jpg 685.jpg 1285.jpg 481.jpg 448.jpg 1961.jpg 1328.jpg 1239.jpg 168.jpg 1900.jpg 409.jpg 1857.jpg 689.jpg 987.jpg 1085.jpg
8.txt,719.jpg 419.jpg 1348.jpg 103.jpg 923.jpg 1261.jpg 1031.jpg 1847.jpg 727.jpg 1283.jpg 266.jpg 1346.jpg 1543.jpg 531.jpg 472.jpg 245.jpg 775.jpg 1918.jpg 114.jpg 1808.jpg
9.txt,51.jpg 1886.jpg 20.jpg 614.jpg 814.jpg 1700.jpg 1335.jpg 1913.jpg 274.jpg 1943.jpg 771.jpg 492.jpg 49.jpg 1402.jpg 1426.jpg 1818.jpg 846.jpg 554.jpg 940.jpg 570.jpg
